Location,Category,Title,Date
Afghanistan,Holiday,Birthday of the Prophet Muhammad,2018-11-20
Afghanistan,Holiday,Liberation Day,2019-02-15
Afghanistan,Holiday,Nowrooz,2019-03-21
Afghanistan,Holiday,Nowrooz Holiday,2019-03-22
Afghanistan,Holiday,Mujahideen Victory Day,2019-04-28
Afghanistan,Holiday,International Workers' Day,2019-05-01
Afghanistan,Holiday,Awal Ramdan,2019-05-06
Afghanistan,Holiday,Eid ul-Fitr,2019-06-04
Afghanistan,Holiday,Eid ul-Fitr Holiday,2019-06-05
Afghanistan,Holiday,Eid ul-Fitr Holiday,2019-06-06
Afghanistan,Holiday,Day of Arafa,2019-08-10
Afghanistan,Holiday,Eid al-Adha,2019-08-11
Afghanistan,Holiday,Eid al-Adha Holiday,2019-08-12
Afghanistan,Holiday,Eid al-Adha Holiday,2019-08-13
Afghanistan,Holiday,Independence Day,2019-08-19
Afghanistan,Holiday,Ashura,2019-09-09
Afghanistan,Holiday,Birthday of the Prophet Muhammad,2019-11-10
Afghanistan,Holiday,Liberation Day,2020-02-15
Afghanistan,Holiday,Nowrooz,2020-03-20
Afghanistan,Holiday,Nowrooz Holiday,2020-03-21
Afghanistan,Holiday,Awal Ramdan,2020-04-24
Afghanistan,Holiday,Mujahideen Victory Day,2020-04-28
Afghanistan,Holiday,International Workers' Day,2020-05-01
Afghanistan,Holiday,Eid ul-Fitr,2020-05-24
Afghanistan,Holiday,Eid ul-Fitr Holiday,2020-05-25
Afghanistan,Holiday,Eid ul-Fitr Holiday,2020-05-26
Afghanistan,Holiday,Day of Arafa,2020-07-30
Afghanistan,Holiday,Eid al-Adha,2020-07-31
Afghanistan,Holiday,Eid al-Adha Holiday,2020-08-01
Afghanistan,Holiday,Eid al-Adha Holiday,2020-08-02
Afghanistan,Holiday,Independence Day,2020-08-19
Afghanistan,Holiday,Ashura,2020-08-29
Afghanistan,Holiday,Birthday of the Prophet Muhammad,2020-10-29
Albania,Holiday,Independence Day,2018-11-28
Albania,Holiday,Liberation Day,2018-11-29
Albania,Holiday,National Youth Day,2018-12-08
Albania,Holiday,Christmas Day,2018-12-25
Albania,Holiday,New Year's Day,2019-01-01
Albania,Holiday,Day after New Year's Day,2019-01-02
Albania,Holiday,Summer Day,2019-03-14
Albania,Holiday,Nevruz,2019-03-21
Albania,Holiday,Easter (Catholic),2019-04-21
Albania,Holiday,Orthodox Easter Day,2019-04-28
Albania,Holiday,Labour Day,2019-05-01
Albania,Holiday,Eid Al Fitr,2019-06-05
Albania,Holiday,Eid Al-Adha,2019-08-12
Albania,Holiday,Mother Teresa Day,2019-09-05
Albania,Holiday,Independence Day,2019-11-28
Albania,Holiday,Liberation Day,2019-11-29
Albania,Holiday,National Youth Day,2019-12-08
Albania,Holiday,Christmas Day,2019-12-25
Albania,Holiday,New Years Day,2020-01-01
Albania,Holiday,Day after New Year's Day,2020-01-02
Albania,Holiday,Summer Day,2020-03-14
Albania,Holiday,Nevruz,2020-03-22
Albania,Holiday,Easter (Catholic),2020-04-12
Albania,Holiday,Orthodox Easter Day,2020-04-19
Albania,Holiday,Labour Day,2020-05-01
Albania,Holiday,Eid Al Fitr,2020-05-24
Albania,Holiday,Eid Al-Adha,2020-07-31
Albania,Holiday,Saint Teresa Canonisation Day,2020-09-05
Albania,Holiday,Independence Day,2020-11-28
Albania,Holiday,Liberation Day,2020-11-29
Albania,Holiday,National Youth Day,2020-12-08
Albania,Holiday,Christmas Day,2020-12-25
Algeria,Holiday,Anniversary of the Revolution,2018-11-01
Algeria,Holiday,Mawlid,2018-11-20
Algeria,Holiday,New Year's Day,2019-01-01
Algeria,Holiday,Yennayer,2019-01-12
Algeria,Holiday,Labour Day,2019-05-01
Algeria,Holiday,Eid-ul-Fitr,2019-06-05
Algeria,Holiday,Independence Day,2019-07-05
Algeria,Holiday,Eid ul-Adha,2019-08-12
Algeria,Holiday,Muharram,2019-09-01
Algeria,Holiday,Ashura,2019-09-10
Algeria,Holiday,Anniversary of the Revolution,2019-11-01
Algeria,Holiday,Mawlid,2019-11-10
Algeria,Holiday,New Year's Day,2020-01-01
Algeria,Holiday,Yennayer,2020-01-12
Algeria,Holiday,Labour Day,2020-05-01
Algeria,Holiday,Eid-ul-Fitr,2020-05-24
Algeria,Holiday,Independence Day,2020-07-05
Algeria,Holiday,Eid ul-Adha,2020-07-31
Algeria,Holiday,Muharram,2020-08-20
Algeria,Holiday,Ashura,2020-08-29
Algeria,Holiday,Mawlid,2020-10-29
Algeria,Holiday,Anniversary of the Revolution,2020-11-01
Angola,Holiday,All Souls&#39; Day,2018-11-02
Angola,Holiday,Independence Day,2018-11-11
Angola,Holiday,Independence Day Holiday,2018-11-12
Angola,Holiday,Christmas Day and Family Day,2018-12-25
Angola,Holiday,New Year's Day,2019-01-01
Angola,Holiday,Liberation Day,2019-02-04
Angola,Holiday,Carnival,2019-03-05
Angola,Holiday,Women's Day,2019-03-08
Angola,Holiday,Peace Day,2019-04-04
Angola,Holiday,Good Friday,2019-04-19
Angola,Holiday,Easter Day,2019-04-21
Angola,Holiday,Labour Day,2019-05-01
Angola,Holiday,National Heroes' Day,2019-09-17
Angola,Holiday,All Souls' Day,2019-11-02
Angola,Holiday,Independence Day,2019-11-11
Angola,Holiday,Christmas Day and Family Day,2019-12-25
Angola,Holiday,New Year's Day,2020-01-01
Angola,Holiday,Liberation Day,2020-02-04
Angola,Holiday,Carnival,2020-02-25
Angola,Holiday,Women's Day,2020-03-09
Angola,Holiday,Peace Day,2020-04-04
Angola,Holiday,Good Friday,2020-04-10
Angola,Holiday,Easter Day,2020-04-12
Angola,Holiday,Labour Day,2020-05-01
Angola,Holiday,National Heroes' Day,2020-09-17
Angola,Holiday,All Souls' Day,2020-11-02
Angola,Holiday,Independence Day,2020-11-11
Angola,Holiday,Christmas Day and Family Day,2020-12-25
Anguilla,Holiday,National Heroes and Heroines Day,2018-12-19
Anguilla,Holiday,Christmas Day,2018-12-25
Anguilla,Holiday,Boxing Day,2018-12-26
Anguilla,Holiday,New Year's Day,2019-01-01
Anguilla,Holiday,James Ronald Webster Day,2019-03-02
Anguilla,Holiday,Good Friday,2019-04-19
Anguilla,Holiday,Easter Monday,2019-04-22
Anguilla,Holiday,Labour Day,2019-05-01
Anguilla,Holiday,Anguilla Day,2019-05-30
Anguilla,Holiday,Celebration of the Birthday of Her Majesty the Queen,2019-06-09
Anguilla,Holiday,Whit Monday,2019-06-10
Anguilla,Holiday,August Monday,2019-08-05
Anguilla,Holiday,August Thursday,2019-08-08
Anguilla,Holiday,Constitution Day,2019-08-09
Anguilla,Holiday,National Heroes and Heroines Day,2019-12-19
Anguilla,Holiday,Christmas Day,2019-12-25
Anguilla,Holiday,Boxing Day,2019-12-26
Anguilla,Holiday,New Year's Day,2020-01-01
Anguilla,Holiday,James Ronald Webster Day,2020-03-02
Anguilla,Holiday,Good Friday,2020-04-10
Anguilla,Holiday,Easter Monday,2020-04-13
Anguilla,Holiday,Labour Day,2020-05-01
Anguilla,Holiday,Anguilla Day,2020-05-30
Anguilla,Holiday,Whit Monday,2020-06-01
Anguilla,Holiday,Anguilla Day Holiday,2020-06-01
Anguilla,Holiday,Celebration of the Birthday of Her Majesty the Queen,2020-06-15
Anguilla,Holiday,August Monday,2020-08-03
Anguilla,Holiday,August Thursday,2020-08-06
Anguilla,Holiday,Constitution Day,2020-08-07
Anguilla,Holiday,National Heroes and Heroines Day,2020-12-19
Anguilla,Holiday,Christmas Day,2020-12-25
Anguilla,Holiday,Boxing Day,2020-12-26
Anguilla,Holiday,Boxing Day Holiday,2020-12-28
Antigua and Barbuda,Holiday,Independence Day,2018-11-01
Antigua and Barbuda,Holiday,V.C Bird Day,2018-12-09
Antigua and Barbuda,Holiday,Christmas Day,2018-12-25
Antigua and Barbuda,Holiday,Boxing Day,2018-12-26
Antigua and Barbuda,Holiday,New Year's Day,2019-01-01
Antigua and Barbuda,Holiday,Good Friday,2019-04-19
Antigua and Barbuda,Holiday,Easter Monday,2019-04-22
Antigua and Barbuda,Holiday,Labour Day,2019-05-06
Antigua and Barbuda,Holiday,Whit Monday,2019-06-10
Antigua and Barbuda,Holiday,J'Ouvert,2019-08-05
Antigua and Barbuda,Holiday,Last Lap,2019-08-06
Antigua and Barbuda,Holiday,Independence Day,2019-11-01
Antigua and Barbuda,Holiday,V.C Bird Day,2019-12-09
Antigua and Barbuda,Holiday,Christmas Day,2019-12-25
Antigua and Barbuda,Holiday,Boxing Day,2019-12-26
Antigua and Barbuda,Holiday,New Year's Day,2020-01-01
Antigua and Barbuda,Holiday,Good Friday,2020-04-10
Antigua and Barbuda,Holiday,Easter Monday,2020-04-13
Antigua and Barbuda,Holiday,Labour Day,2020-05-04
Antigua and Barbuda,Holiday,Whit Monday,2020-06-01
Antigua and Barbuda,Holiday,J'Ouvert,2020-08-03
